Sample ID,SEAL AQ2 Test,Absorbance,Results,Units,Analyst,Man Dil Factor,Auto Dil Factor,Date and Time
D94973-1,TKN Cu,0.862653, 92.233,mg N_L,zsh,25.00,1,07/03/2017 13:05:11
CCV,TKN Cu,0.575827,  1.844,mg N_L,zsh,1,1,07/03/2017 13:06:21
CCB,TKN Cu,0.254794,  0.068,mg N_L,zsh,1,1,07/03/2017 13:07:52
D95017-1,TKN Cu,0.391199,  7.852,mg N_L,zsh,1,10.00,07/03/2017 13:54:31
gp20664-S3,TKN Cu,0.412956,  9.047,mg N_L,zsh,1,10.00,07/03/2017 13:55:52
D95018-1,TKN Cu,0.325487,  4.327,mg N_L,zsh,1,10.00,07/03/2017 13:59:59
D94895-5,TKN Cu,0.681057,  2.493,mg N_L,zsh,1,1,07/03/2017 13:13:19
D94895-4,TKN Cu,0.343623, 52.874,mg N_L,zsh,10.00,10.00,07/03/2017 14:01:21
CCV,TKN Cu,0.580070,  1.870,mg N_L,zsh,1,1,07/03/2017 13:16:02
CCB,TKN Cu,0.246272,  0.025,mg N_L,zsh,1,1,07/03/2017 13:17:25
CCV,TKN Cu,0.568824,  1.802,mg N_L,zsh,1,1,07/03/2017 13:37:36
CCB,TKN Cu,0.247520,  0.031,mg N_L,zsh,1,1,07/03/2017 13:39:26
CCV,TKN Cu,0.576751,  1.850,mg N_L,zsh,1,1,07/03/2017 13:57:14
CCB,TKN Cu,0.241219, -0.001,mg N_L,zsh,1,1,07/03/2017 13:58:36
CCV,TKN Cu,0.564482,  1.776,mg N_L,zsh,1,1,07/03/2017 14:02:42
CCB,TKN Cu,0.241597,  0.001,mg N_L,zsh,1,1,07/03/2017 14:04:05
CCV,TKN Cu,0.570819,  1.814,mg N_L,zsh,1,1,07/03/2017 14:24:52
CCB,TKN Cu,0.236126, -0.026,mg N_L,zsh,1,1,07/03/2017 14:26:15
CCV,TKN Cu,0.570573,  1.813,mg N_L,zsh,1,1,07/03/2017 14:28:59
CCB,TKN Cu,0.238763, -0.013,mg N_L,zsh,1,1,07/03/2017 14:30:22
CCV,TKN Cu,0.588353,  1.920,mg N_L,zsh,1,1,07/03/2017 14:50:15
CCB,TKN Cu,0.235056, -0.031,mg N_L,zsh,1,1,07/03/2017 14:51:37
CCV,TKN Cu,0.562619,  1.765,mg N_L,zsh,1,1,07/03/2017 14:54:21
CCB,TKN Cu,0.239367, -0.010,mg N_L,zsh,1,1,07/03/2017 14:55:44
